time,seconds_elapsed,z,y,x
1783338514920655600,0.054655517578125,-0.9574432373046875,-0.2769622802734375,-0.043212890625
1783338514930628900,0.06462890625,-0.96484375,-0.2935791015625,-0.0467071533203125
1783338514940601900,0.074601806640625,-0.977142333984375,-0.306732177734375,-0.0319366455078125
1783338514950574800,0.084574951171875,-0.9900665283203125,-0.314971923828125,0.003570556640625
1783338514960547800,0.0945478515625,-0.996490478515625,-0.3316802978515625,0.0074462890625
1783338514970520800,0.104520751953125,-0.969879150390625,-0.31793212890625,-0.0224609375
1783338514980493800,0.114493896484375,-0.944915771484375,-0.2911529541015625,-0.076690673828125
1783338514990466800,0.124466796875,-0.9419097900390625,-0.2822113037109375,-0.147979736328125
1783338515000439800,0.134439697265625,-0.931182861328125,-0.2450408935546875,-0.20068359375
1783338515010413000,0.1444130859375,-0.896942138671875,-0.2330474853515625,-0.2671051025390625
1783338515020385800,0.1543857421875,-0.8664703369140625,-0.2379608154296875,-0.3070068359375
1783338515030358800,0.16435888671875,-0.8606719970703125,-0.24169921875,-0.2938995361328125
1783338515040331800,0.174331787109375,-0.8948822021484375,-0.222381591796875,-0.2266998291015625
1783338515050304800,0.1843046875,-0.9545440673828125,-0.1993560791015625,-0.1705322265625
1783338515060278000,0.194278076171875,-0.9852294921875,-0.194427490234375,-0.1488037109375
1783338515070250800,0.204250732421875,-0.98797607421875,-0.2040557861328125,-0.12286376953125
1783338515080223700,0.2142236328125,-0.993438720703125,-0.207427978515625,-0.097503662109375
1783338515090196700,0.22419677734375,-1.0103607177734375,-0.21221923828125,-0.067474365234375
1783338515100170000,0.234169921875,-1.045623779296875,-0.204315185546875,-0.0077362060546875
1783338515110143000,0.24414306640625,-1.066650390625,-0.1751251220703125,0.052642822265625
1783338515120115700,0.25411572265625,-1.0954437255859375,-0.14886474609375,0.076904296875
1783338515130088700,0.264088623046875,-1.128631591796875,-0.122222900390625,0.0547943115234375
1783338515140062000,0.27406201171875,-1.10888671875,-0.0794677734375,-0.0266265869140625
1783338515150035000,0.284034912109375,-1.0702056884765625,-0.0380401611328125,-0.07965087890625
1783338515160007700,0.294007568359375,-0.988555908203125,0.0145111083984375,-0.078125
1783338515169980700,0.303980712890625,-0.901702880859375,-0.041412353515625,-0.0179290771484375
1783338515179954000,0.313953857421875,-0.8664093017578125,-0.1530609130859375,0.0458984375
1783338515189927000,0.323927001953125,-0.8726348876953125,-0.196929931640625,0.04791259765625
1783338515199900000,0.33389990234375,-0.943511962890625,-0.25616455078125,-0.0071563720703125
1783338515209872600,0.34387255859375,-1.0170745849609375,-0.304931640625,-0.0300140380859375
1783338515219846000,0.353845947265625,-0.9920196533203125,-0.3791351318359375,-0.066650390625
1783338515229819000,0.36381884765625,-0.9208221435546875,-0.4116363525390625,-0.09820556640625
1783338515239791900,0.3737919921875,-0.8906707763671875,-0.4138946533203125,-0.115631103515625
1783338515249764900,0.383764892578125,-0.9010162353515625,-0.4519500732421875,-0.1580657958984375
1783338515259737900,0.39373779296875,-0.8777923583984375,-0.4677734375,-0.182861328125
1783338515269710800,0.4037109375,-0.905609130859375,-0.40838623046875,-0.1507720947265625
1783338515279683800,0.413683837890625,-0.704376220703125,-0.337066650390625,-0.032073974609375
1783338515289656800,0.42365673828125,-0.6379241943359375,-0.2677154541015625,0.070465087890625
1783338515299629800,0.4336298828125,-0.5573272705078125,-0.25341796875,0.09832763671875
1783338515309602300,0.443602294921875,-0.6004180908203125,-0.248748779296875,0.167877197265625
1783338515319575300,0.4535751953125,-0.7564544677734375,-0.29986572265625,0.160736083984375
1783338515329548300,0.46354833984375,-0.8454437255859375,-0.3646392822265625,0.050872802734375
1783338515339521500,0.473521484375,-0.8706512451171875,-0.353363037109375,-0.049713134765625
1783338515349494300,0.483494384765625,-0.9343414306640625,-0.3336334228515625,-0.0716400146484375
1783338515359467300,0.49346728515625,-1.0218505859375,-0.3049774169921875,-0.02001953125
1783338515369440300,0.503440185546875,-1.0838623046875,-0.221771240234375,0.03448486328125
1783338515379413200,0.513413330078125,-1.107086181640625,-0.12017822265625,0.0494537353515625
1783338515389386500,0.523386474609375,-1.073394775390625,-0.0714263916015625,0.014892578125
1783338515399359200,0.533359130859375,-1.0478363037109375,-0.1797027587890625,0.002288818359375
1783338515409332200,0.543332275390625,-0.952880859375,-0.3271484375,-0.0238037109375
1783338515419305200,0.55330517578125,-0.8486785888671875,-0.33477783203125,-0.0720672607421875
1783338515429278500,0.563278564453125,-0.8097991943359375,-0.2988433837890625,-0.0885162353515625
1783338515439251500,0.57325146484375,-0.800384521484375,-0.25299072265625,-0.066802978515625
1783338515449225500,0.5832255859375,-0.772003173828125,-0.1887969970703125,0.001495361328125
1783338515459198200,0.5931982421875,-0.754974365234375,-0.148406982421875,0.0277557373046875
1783338515469171200,0.603171142578125,-0.781097412109375,-0.1591796875,-0.0691680908203125
1783338515479144400,0.61314453125,-0.8179779052734375,-0.2119903564453125,-0.1888885498046875
1783338515489117400,0.623117431640625,-0.8258514404296875,-0.2644805908203125,-0.296844482421875
1783338515499090400,0.63309033203125,-0.833587646484375,-0.28924560546875,-0.390960693359375
1783338515509063200,0.643063232421875,-0.8411712646484375,-0.2910919189453125,-0.435699462890625
1783338515519036400,0.653036376953125,-0.84930419921875,-0.283203125,-0.4448089599609375
1783338515529009400,0.663009521484375,-0.8388824462890625,-0.2489776611328125,-0.420684814453125
1783338515538982400,0.672982421875,-0.83099365234375,-0.197784423828125,-0.34869384765625
1783338515548955400,0.682955322265625,-0.8147735595703125,-0.1473236083984375,-0.2777557373046875
1783338515558928100,0.69292822265625,-0.7947540283203125,-0.10455322265625,-0.260040283203125
1783338515568901400,0.7029013671875,-0.7896881103515625,-0.0934906005859375,-0.2711181640625
1783338515578874400,0.712874267578125,-0.77923583984375,-0.1128692626953125,-0.29925537109375
1783338515588847400,0.722847412109375,-0.7610321044921875,-0.1127166748046875,-0.3182525634765625
1783338515598820400,0.7328203125,-0.75018310546875,-0.0408782958984375,-0.27777099609375
1783338515608793300,0.74279345703125,-0.7528228759765625,0.0611724853515625,-0.1893310546875
1783338515618766300,0.752766357421875,-0.7603759765625,0.1234283447265625,-0.11871337890625
1783338515628739300,0.7627392578125,-0.7641448974609375,0.1265106201171875,-0.1367034912109375
1783338515638712300,0.77271240234375,-0.7302093505859375,0.1008758544921875,-0.2571563720703125
1783338515648685300,0.782685302734375,-0.6411895751953125,0.0798492431640625,-0.3347320556640625
1783338515658658300,0.792658203125,-0.588653564453125,0.088775634765625,-0.3347320556640625
1783338515668631300,0.80263134765625,-0.557952880859375,0.134429931640625,-0.337646484375
1783338515678604300,0.812604248046875,-0.4942169189453125,0.1843109130859375,-0.32623291015625
1783338515688577500,0.82257763671875,-0.4098968505859375,0.24615478515625,-0.3066253662109375
1783338515698550300,0.83255029296875,-0.35552978515625,0.3140716552734375,-0.317535400390625
1783338515708523300,0.842523193359375,-0.3641815185546875,0.3963775634765625,-0.3990020751953125
1783338515718496300,0.852496337890625,-0.3942718505859375,0.4456634521484375,-0.5423126220703125
1783338515728469200,0.86246923828125,-0.4046783447265625,0.473724365234375,-0.6781005859375
1783338515738442500,0.8724423828125,-0.379608154296875,0.498260498046875,-0.7492828369140625
1783338515748415200,0.882415283203125,-0.3560333251953125,0.5392303466796875,-0.7964935302734375
1783338515758388200,0.89238818359375,-0.3339385986328125,0.5798797607421875,-0.82696533203125
1783338515768361200,0.902361328125,-0.3375701904296875,0.6028594970703125,-0.888763427734375
1783338515778334500,0.91233447265625,-0.328399658203125,0.587860107421875,-1.034149169921875
1783338515788307500,0.922307373046875,-0.2684326171875,0.509735107421875,-1.181182861328125
1783338515798280200,0.9322802734375,-0.1771240234375,0.470367431640625,-1.295623779296875
1783338515808253200,0.942253173828125,-0.1349334716796875,0.4876556396484375,-1.343597412109375
1783338515818226400,0.952226318359375,-0.1532745361328125,0.5230255126953125,-1.309783935546875
1783338515828199400,0.962199462890625,-0.1917877197265625,0.606781005859375,-1.24530029296875
1783338515838172400,0.97217236328125,-0.2277069091796875,0.6605377197265625,-1.1943359375
1783338515848145200,0.982145263671875,-0.2285308837890625,0.65570068359375,-1.2028961181640625
1783338515858119200,0.992119140625,-0.182830810546875,0.596282958984375,-1.3464508056640625
1783338515868092400,1.002092529296875,-0.102142333984375,0.484588623046875,-1.5463104248046875
1783338515878065400,1.0120654296875,-0.00250244140625,0.4078826904296875,-1.6295928955078125
